,video_title
300,"[현장영상] ""예정대로 뉴진스 뮤직비디오 공개 되나요?"" 질문에… / 채널A"
301,[K-Choreo 8K HDR] 뉴진스 직캠 'New Jeans' (NewJeans Choreography) @MusicBank 230714
302,NewJeans (뉴진스) - Attention 「Official Audio」
303,해린이의 재채기 타임ㅋㅋ
304,08년생 혜인이에게 어텐션
305,[뉴진스] 민지 T의 단호함에 당황하는 하니
306,뉴진스가 베꼈다는 멕시코 걸그룹 '진스'
307,아일릿 vs 뉴진스 소름돋는 이 안무? ㄷㄷ
308,NewJeans (뉴진스) 'Hype Boy' Official MV (MINJI ver.)
309,NewJeans (뉴진스) 'Ditto' Official MV (side A)
310,"""꾹 참았는데"" 뉴진스 안무가도 등판…""이건 뭐 죄다 복붙"" #소셜픽 / JTBC 아침&"
311,강해린 혼자 이상한 거 먹는다
312,[앵콜캠4K] 뉴진스 'Attention' 인기가요 1위 앵콜 직캠 (NewJeans Encore Fancam)│@SBS Inkigayo 220828
313,[단독샷캠4K] 뉴진스 'ASAP' 단독샷 별도녹화│NewJeans ONE TAKE STAGE│@SBS Inkigayo 230827
314,힘 다르게 주는 천재 고양이
315,뉴진스 버블검 표절 논란의 진짜 이유..ㄷㄷ
316,뉴진스 르세라핌까지 따라했다고 말 나오는 하이브 신인걸그룹 “아일릿”
317,[단독샷캠4K] 뉴진스 'OMG' 단독샷 별도녹화│NewJeans ONE TAKE STAGE @SBS Inkigayo 230115
318,NewJeans (뉴진스) 'OMG' Dance Practice
319,NewJeans (뉴진스) 'Hype Boy' Special Performance Video
320,[뉴진스] 킴민지!!!! 모음
321,다니엘 생일 라이브에 하니 민지가 나타나자 생긴 일 #danielle #newjeans
322,토끼인척 하는 곰 #newjeans #하이브 #단월드#뉴진스
323,"뉴진스님 따라 ""부처 핸섬!""…콘서트장 된 연등행사 후끈 / SBS 8뉴스"
324,파워퍼프걸로 변신한 뉴진스 🎀 𝙉𝙚𝙬𝙅𝙚𝙖𝙣𝙨 - 𝙉𝙚𝙬 𝙅𝙚𝙖𝙣𝙨 [한글 가사/해석]
325,"민희진이 숨겨놓은 또 다른 계정, 반지연?"
326,치킨댄스 챌린지 팜하니
327,Y2K 감성 밟으실 수 있죠? 𝑁𝑒𝑤𝑗𝑒𝑎𝑛𝑠 - 𝐵𝑢𝑏𝑏𝑙𝑒 𝐺𝑢𝑚 뜻 가사 해석으로 영어 공부하기!
328,[Full Album] NewJeans (뉴진스) - Get Up
329,[단독샷캠4K] 뉴진스 'OMG' 단독샷 별도녹화│NewJeans ONE TAKE STAGE @SBS Inkigayo 230129
330,NewJeans (뉴진스) 'Hype Boy' Official MV (Performance ver.2)
331,민희진의 뉴진스 뒷담화? 충격적인 대화 공개..
332,NewJeans (뉴진스) 'Hype Boy' Official MV (HYEIN ver.)
333,"어도어가 지난해 뉴진스 멤버들에게 정산한 금액, 무려... [지금이뉴스] / YTN"
334,ETA - 뉴진스(NewJeans) [뮤직뱅크/Music Bank] | KBS 230804 방송
335,[뉴진스 해린] 갭차이 실화ㅋㅋㅋ
336,[뉴진스 하니] BTS 슈가도 참지 못하는 그녀의 귀여움
337,NewJeans(뉴진스) - OMG @인기가요 inkigayo 20230129
338,NewJeans (뉴진스) 'Zero' Performance Video
339,[단독샷캠4K] 뉴진스 'Cool With You' 단독샷 별도녹화│NewJeans ONE TAKE STAGE @SBS Inkigayo 230723
340,SM의 살아있는 전설 민희진(이 참여한) 작품 모음 3탄 #shorts
341,OMG 뮤비 충격씬 #뉴진스 #대박
342,파워퍼프걸이 된 뉴진스 #shorts
343,"[뉴진스] 뉴진스 멤버들 ""재판에서 민희진 지지선언"" (""New Jeans"" declares that it supports ""Min Heejin"")"
344,[에디터픽] 뉴진스 멤버 5명 법원에 탄원서…첫 공식 입장 / YTN
345,NewJeans(뉴진스) 'Hurt' Special Video
346,금쪽민지의 마지막 헬륨!!! #Hanni #ハニ #NewJeans
347,NewJeans (뉴진스) 'Attention' Dance Practice (ver.3)
348,[단독샷캠4K] 뉴진스 'Attention' 단독샷 별도녹화│NewJeans ONE TAKE STAGE @SBS Inkigayo 220807
349,"“결국 지나갈 거야”.... 뉴진스 다니엘X민지, 하이브vs민희진 분쟁 속 심경고백 #newjeans #minheejin #hybe"
350,대퓨님도 보고 놀랄 뉴진스의 프로아이돌 모먼트🐰
351,경복궁 근정전 밝힌 뉴진스…“한국의 미 뽐냈다!” [9시 뉴스] / KBS 2024.05.16.
352,[뉴진스] 다니엘 감당하기
353,[MMA2023] NewJeans - FULL Performance | #NewJeans #SuperShy #ETA #CoolWithYou #GetUp #ASAP #MMA2023
354,뉴진스 vs 진스 vs 아일릿. 누가 카피캣임?
355,NewJeans(뉴진스) - OMG @인기가요 inkigayo 20230115
356,"[기자수첩480]민희진대표,뉴진스를 빼앗으려했나? 5월 컴백 앞둔 '뉴진스' 이미지타격 불가피"
357,[BTN뉴스] 우리학교에 뉴진스님 오신 날 “자랑하고 싶어요”
358,은근 많다는 뉴진스 민지 닮은꼴 모음
359,뉴진스 혜인 녹음실 음색
360,[앵콜캠4K] 뉴진스 'Ditto' 인기가요 1위 앵콜 직캠 (NewJeans Encore Fancam) | @SBS Inkigayo 230129
361,르세라핌 뉴진스 이 만남 기쁘다
362,아이돌 작명할 명수 - 뉴진스 #할명수 #할명수 #NewJeans #shorts
363,뮤비감독 작업실가서 연습하는ㅋㅋ #뉴진스 #tellme
364,킴민지가 키우는 강해린
365,(SUB) 뉴진스~💕 예능에서 제일 나쁜 사람 만났으니까 이제 뭐든 할 수 있어요ㅣep.113
366,NewJeans (뉴진스) The 38th GOLDEN DISC AWARDS Dance Practice
367,"뉴진스 전원, 법원에 탄원서…민희진에 힘 실은 듯 [MBN 뉴스센터]"
368,[앵콜캠4K] 뉴진스 'OMG' 인기가요 1위 앵콜 직캠 (NewJeans Encore Fancam)│@SBS Inkigayo 230115
369,Ditto - 뉴진스(NewJeans) [뮤직뱅크/Music Bank] | KBS 230120 방송
370,NewJeans (뉴진스) 'Hype Boy' Official MV (MINJI ver.)
371,[안방1열 풀캠4K] 뉴진스 'OMG' (NewJeans FullCam)│@SBS Inkigayo 230115
372,뉴진스 (NewJeans) - Intro + Attention + Hype boy [2022 KBS 가요대축제] | KBS 221216 방송
373,"미 시상식 진행자 뉴진스 때문에 당황, 진행 중단 (feat. 빌보드 위민 인 뮤직), 장난 아니네"
